ano,pib_agro,consumo_diesel
1996,2329.6048940919345,30154.903704999997
1997,2167.953264221817,31998.088959
1998,2064.5338557849627,34246.912097
1999,2048.368940469439,34593.003076
2000,2218.907077666513,35151.264151
2001,2220.4068793544043,37024.902974
2002,2288.027940639419,37668.347519
2003,2340.675737837223,36853.253587
2004,2241.243694272654,39225.674616
2005,2048.3725057114116,39167.154702
2006,2044.1009293263965,39008.397496
2007,2099.5266804926846,41558.17959002699
2008,2197.953337079619,44763.952307499
2009,2072.5277114874993,44298.462788168
2010,2243.379651715367,49239.039243911
2011,2249.454770698274,52263.911583114
2012,2113.5087147722907,55900.363671467996
2013,2134.3799471879056,58572.495084
2014,2135.0388002417717,60031.617589
2015,2208.3831160692216,57210.870372582
2016,2358.470244488531,54278.570072999995
2017,2228.1685700419466,54772.292484289996
2018,2209.351303713648,55629.467172
2019,2269.2411726220553,57298.447724
2020,2768.140318840938,57472.056312
2021,2990.3198067411636,62111.565861
2022,2929.56522750321,63226.94014
2023,2805.7381030715824,65518.400721
2024,2852.588862675479,67421.677564
2025,3200.5835212293136,69476.713175
