ANO,pib_agro_reais_mi,vendas_diesel_total_m3,consumo_diesel_agro_tep
1996,2329604.8940919344,30154903.705,4479.684399627907
1997,2167953.264221817,31998088.959,4659.045913004651
1998,2064533.855784963,34246912.097,4475.075801877934
1999,2048368.9404694391,34593003.076,4617.45687
2000,2218907.077666513,35151264.151,4452.013440000001
2001,2220406.8793544043,37024902.974,4855.3932
2002,2288027.940639419,37668347.519,4772.544
2003,2340675.737837223,36853253.587,4825.12
2004,2241243.694272654,39225674.616,4766.608
2005,2048372.5057114116,39167154.702,4734.1390891777855
2006,2044100.9293263964,39008397.496,4791.314852780838
2007,2099526.6804926847,41558179.590027,5050.159370760683
2008,2197953.337079619,44763952.307499,5538.276244245279
2009,2072527.7114874993,44298462.788168,5326.1783681585775
2010,2243379.651715367,49239039.243911,5486.203076949219
2011,2249454.770698274,52263911.583114,5379.343422630109
2012,2113508.7147722906,55900363.671468,5594.6146561340665
2013,2134379.9471879057,58572495.084,5593.8645152752115
2014,2135038.8002417716,60031617.589,5833.183900412609
2015,2208383.1160692214,57210870.372582,5883.941854499179
2016,2358470.2444885313,54278570.073,5747.509367709582
2017,2228168.5700419466,54772292.48429,6149.871368212306
2018,2209351.303713648,55629467.172,6022.54214194902
2019,2269241.1726220553,57298447.724,6133.808979398073
2020,2768140.318840938,57472056.312,6230.4071249118815
2021,2990319.8067411636,62111565.861,6264.046229758192
2022,2929565.22750321,63226940.14,6462.606847262046
2023,2805738.1030715825,65518400.721,6867.820233732195
2024,2852588.862675479,67421677.564,6826.982147338691
